date,expiry,type,entry_ts,atm,lot,short_strike,long_strike,credit,margin,spot_entry,exit_ts,exit_reason,gross_pnl,charges,net_pnl
2025-07-03,2025-07-03,bull_put,2025-07-03 10:26:00,25550,75,25550,25150,39.00000000000001,27075.0,25565.3,2025-07-03 15:01:00,TIME,-7691.250000000001,103.45896967249998,-7794.708969672501
2025-07-04,2025-07-10,bull_put,2025-07-04 10:24:00,25400,75,25400,25000,105.14999999999998,22113.75,25415.5,2025-07-07 15:01:00,TIME,2684.9999999999986,113.60504984,2571.3949501599986
2025-07-08,2025-07-10,bull_put,2025-07-08 10:20:00,25450,75,25450,25050,74.60000000000001,24405.0,25459.95,2025-07-09 15:01:00,TIME,2505.0000000000005,105.58417714999999,2399.4158228500005
2025-07-10,2025-07-10,bear_call,2025-07-10 10:50:00,25400,75,25400,25800,52.1,26092.5,25403.55,2025-07-10 15:01:00,TIME,3825.0,100.26374037499998,3724.736259625
2025-07-11,2025-07-17,bear_call,2025-07-11 10:20:00,25250,75,25250,25650,113.54999999999998,21483.750000000004,25239.55,2025-07-14 15:01:00,TIME,4616.249999999999,112.1469941225,4504.1030058774995
2025-07-15,2025-07-17,bear_call,2025-07-15 10:19:00,25100,75,25100,25500,92.65,23051.25,25113.75,2025-07-16 15:01:00,TIME,-3393.75,111.0368031125,-3504.7868031125
2025-07-17,2025-07-17,bear_call,2025-07-17 10:31:00,25150,75,25150,25550,38.4,27120.0,25144.35,2025-07-17 15:01:00,TIME,2827.4999999999995,98.76908465,2728.7309153499996
2025-07-18,2025-07-24,bear_call,2025-07-18 10:16:00,25000,75,25000,25400,125.74999999999999,20568.75,24996.35,2025-07-21 15:01:00,TIME,-888.7500000000027,118.3448234825,-1007.0948234825028
2025-07-22,2025-07-24,bull_put,2025-07-22 10:22:00,25100,75,25100,24700,57.3,25702.5,25119.3,2025-07-23 15:01:00,TIME,3408.7499999999995,102.11496734750003,3306.6350326524994
2025-07-24,2025-07-24,bull_put,2025-07-24 10:19:00,25150,75,25150,24750,17.65,28676.25,25165.3,2025-07-24 15:01:00,TIME,-4950.0,99.23567219,-5049.23567219
2025-07-25,2025-07-31,bear_call,2025-07-25 10:32:00,24850,75,24850,25250,119.04999999999998,21071.250000000004,24855.5,2025-07-28 15:01:00,TIME,5553.749999999999,113.53586329250001,5440.214136707499
2025-07-29,2025-07-31,bear_call,2025-07-29 10:28:00,24650,75,24650,25050,85.75,23568.75,24635.0,2025-07-30 15:01:00,TIME,-10552.500000000002,115.264836635,-10667.764836635002
2025-07-31,2025-07-31,bull_put,2025-07-31 10:26:00,24700,75,24700,24300,57.0,25725.0,24686.75,2025-07-31 15:01:00,TIME,4215.0,100.86420917000001,4114.13579083
2025-08-01,2025-08-07,bull_put,2025-08-01 10:21:00,24750,75,24750,24350,107.1,21967.5,24766.1,2025-08-04 15:01:00,TIME,-101.2500000000017,116.91416968250002,-218.16416968250172
2025-08-05,2025-08-07,bull_put,2025-08-05 10:19:00,24650,75,24650,24250,100.5,22462.5,24627.95,2025-08-06 15:01:00,TIME,138.74999999999957,111.56490976250001,27.185090237499566
2025-08-07,2025-08-07,bull_put,2025-08-07 10:19:00,24500,75,24500,24100,37.0,27225.0,24484.45,2025-08-07 15:01:00,TIME,2666.25,98.57584856749999,2567.6741514325
2025-08-08,2025-08-14,bull_put,2025-08-08 10:27:00,24500,75,24500,24100,103.39999999999999,22245.0,24480.75,2025-08-11 15:01:00,TIME,3487.499999999999,112.49538876499999,3375.004611234999
2025-08-12,2025-08-14,bear_call,2025-08-12 10:20:00,24650,75,24650,25050,99.7,22522.5,24650.9,2025-08-13 15:01:00,TIME,2737.500000000001,108.50645616499999,2628.9935438350008
2025-08-14,2025-08-14,bull_put,2025-08-14 10:19:00,24650,75,24650,24250,50.6,26205.0,24636.8,2025-08-14 15:01:00,TIME,3352.5,100.19492249000001,3252.30507751
